word	phones	word_info	u-point	u-point_mass	prefix	prefix_info	suffix	suffix_info	morpheme_count
adjunct	@JVNkt	14.710356090364595	2	600	@J	1.0	VNkt	1.292481250360578	0
adjective	@Jxktxv	14.17897646888547	3	608	@Jx	5.3724169187497735	ktxv	1.0	0
agile	@Jxl	14.910154772318718	3	610	@Jx	5.3724169187497735	l	0.9940420250727062	0
adulation	@JxleSxn	15.1594579297941	4	610	@Jxl	6.832890014164742	eSxn	0.9497185851561727	1
agitation	@JxteSxn	16.125489236441794	5	617	@Jxte	9.731545633335273	Sxn	1.0258451301009608	1
agitate	@Jxtet	14.952759982295401	5	620	@Jxte	9.731545633335273	t	1.0605605955934554	0
agitator	@JxtetR	15.062512693118721	6	620	@Jxtet	9.39898113352047	R	1.101986173826359	1
agitated	@Jxtetxd	14.13154103411697	6	620	@Jxtet	9.39898113352047	xd	0.372221294306821	0
adjutant	@Jxtxnt	18.793542548327622	4	613	@Jxt	5.954196310386876	xnt	0.4531409275007758	0
anger	@NgR	10.609964378537407	3	629	@Ng	4.811129944915028	R	1.101986173826359	0
angered	@NgRd	14.12940091992803	4	629	@NgR	10.838416075797337	d	1.079585068430471	-1
angora	@NgcrV	12.258862583887982	3	627	@Ng	4.811129944915028	crV	1.8306176987765583	0
angler	@NglR	14.539888735188173	4	629	@Ngl	10.497561641027293	R	1.101986173826359	1
angling	@NglxN	14.940219863326138	4	629	@Ngl	10.497561641027293	xN	0.9624932115292415	0
angry	@Ngri	11.556512387341414	4	629	@Ngr	7.842415394296015	i	1.0032128889325593	0
angrily	@Ngrxli	13.257197346008207	4	629	@Ngr	7.842415394296015	xli	0.7248819767777281	1
anguish	@NgwxS	13.352273597343473	5	633	@Ngwx	6.94251450533924	S	1.6618195611954374	0
anguished	@NgwxSt	15.746010356842696	6	633	@NgwxS	10.84470576441194	t	1.0605605955934554	1
angle	@Ngxl	11.321389897920879	4	631	@Ngx	9.744833837499547	l	0.9940420250727062	0
angled	@Ngxld	17.709636796227677	5	631	@Ngxl	10.838416075797337	d	1.079585068430471	-1
angular	@NgyxlR	17.829419296386423	3	627	@Ng	4.811129944915028	yxlR	1.2339850002884625	1
anchor	@NkR	10.983274020558953	3	628	@Nk	7.263249619568283	R	1.101986173826359	0
anchored	@NkRd	13.379251904524917	4	628	@NkR	8.669159945618816	d	1.079585068430471	-1
anchorman	@NkRm@n	13.310656947614339	4	628	@NkR	8.669159945618816	m@n	1.328690331418478	1
anchoring	@NkRxN	15.262204555949552	4	628	@NkR	8.669159945618816	xN	0.9624932115292415	-1
anxious	@NkSxs	13.35063799273221	5	630	@NkSx	9.489847960439299	s	1.092054553360531	0
anxiously	@NkSxsli	14.404599854906373	6	630	@NkSxs	9.537218400538597	li	0.6292602089866118	1
anklet	@Nklxt	16.21785637168928	3	624	@Nk	7.263249619568283	lxt	1.1733212004199807	1
ankle	@Nkxl	11.657994625903958	4	626	@Nkx	5.8724169187497735	l	0.9940420250727062	0
anchorage	@NkxrxJ	13.852523232696322	4	626	@Nkx	5.8724169187497735	rxJ	1.5	1
anglicized	@NlxsYzd	15.3319591383261	2	615	@N	0.3333333333333333	lxsYzd	1.5849625007211563	-1
angstrom	@Nstrxm	11.843945312927229	2	615	@N	0.3333333333333333	strxm	2.084962500721156	-1
anxiety	@NzYxti	11.71736043711868	2	615	@N	0.3333333333333333	zYxti	1.5849625007211563	1
ash	@S	11.927077179640504	1	595	@	8.191418405468928	S	1.6618195611954374	0
ashy	@Si	16.755947350123726	2	595	@S	5.61450951153703	i	1.0032128889325593	1
ashtray	@Stre	13.42531537446146	2	595	@S	5.61450951153703	tre	1.5849625007211563	1
ashen	@Sxn	18.37523167590683	2	595	@S	5.61450951153703	xn	1.0365940750587523	1
athletic	@TlEtxk	12.19657461902036	6	610	@TlEtx	4.504214311035291	k	1.3912178946203648	1
athletics	@TlEtxks	12.990915671608485	7	610	@TlEtxk	9.489847960439299	s	1.092054553360531	1
athleticism	@TlEtxsIzm	13.750726292312832	6	608	@TlEtx	4.504214311035291	sIzm	1.0	-1
athlete	@Tlit	10.59544802745173	3	599	@Tl	3.700439718141092	it	1.05806826939719	0
azure	@ZR	16.754348567994228	1	591	@	8.191418405468928	ZR	1.72060986139958	0
aberrant	@bErxnt	15.460771878874025	2	631	@b	2.814641508472483	Erxnt	1.5	1
abject	@bJEkt	16.863643964887274	2	631	@b	2.814641508472483	JEkt	2.0	0
aborigine	@bRIJxni	16.801172121743424	7	642	@bRIJxn	9.391063994973473	i	1.0032128889325593	0
aboriginal	@bRIJxnxl	14.444541191254219	7	642	@bRIJxn	9.391063994973473	xl	0.7953872451514575	1
aberration	@bReSxn	13.344393107339336	3	634	@bR	6.832890014164742	eSxn	0.9497185851561727	0
abduction	@bdVkSxn	10.856219325128633	5	650	@bdVk	9.731545633335273	Sxn	1.0258451301009608	1
abduct	@bdVkt	17.37550496015193	5	654	@bdVk	9.731545633335273	t	1.0605605955934554	0
abductor	@bdVktR	12.488877098393314	6	654	@bdVkt	9.685509433643624	R	1.101986173826359	-1
abductee	@bdVkti	13.497596182614604	6	654	@bdVkt	9.685509433643624	i	1.0032128889325593	-1
abducted	@bdVktxd	13.996651995176123	6	654	@bdVkt	9.685509433643624	xd	0.372221294306821	-1
abdominal	@bdamxnxl	13.774617475108181	3	640	@bd	-0.0	amxnxl	1.0	1
abdomen	@bdomxn	12.978826931352758	3	640	@bd	-0.0	omxn	1.0	0
abdication	@bdxkeSxn	14.659654996892142	6	646	@bdxke	9.731545633335273	Sxn	1.0258451301009608	1
abdicate	@bdxket	15.99782369453782	6	646	@bdxke	9.731545633335273	t	1.0605605955934554	0
abhor	@bhcr	15.874625120535878	4	637	@bhc	7.459431618637297	r	1.5189095260977274	0
abhorrent	@bhcrxnt	15.76221052447824	5	637	@bhcr	5.954196310386876	xnt	0.4531409275007758	1
abbe	@bi	16.22083876430397	2	631	@b	2.814641508472483	i	1.0032128889325593	0
abnormality	@bncrm@lxti	12.133479496326405	6	643	@bncrm	5.392317422778761	@lxti	0.9160847449759292	1
abnormal	@bncrmxl	13.749366956712207	7	647	@bncrmx	9.744833837499547	l	0.9940420250727062	1
abnormally	@bncrmxli	14.390236670411358	8	647	@bncrmxl	10.258566033889933	i	1.0032128889325593	1
abracadabra	@brxkxd@brV	17.70807326995858	2	631	@b	2.814641508472483	rxkxd@brV	2.0	0
abscess	@bsEs	14.101015243834434	3	646	@bs	1.5849625007211563	Es	0.9727652780181631	0
abscond	@bskand	15.81800092011991	3	646	@bs	1.5849625007211563	kand	1.0	0
abstraction	@bstr@kSxn	14.206440570300483	7	660	@bstr@k	9.731545633335273	Sxn	1.0258451301009608	1
abstract	@bstr@kt	14.01354706551222	7	662	@bstr@k	9.731545633335273	t	1.0605605955934554	0
abstracted	@bstr@ktxd	17.22460649601619	8	662	@bstr@kt	8.271463027904375	xd	0.372221294306821	0
abstinence	@bstxnxns	13.354593804131943	8	659	@bstxnxn	10.16727686242562	s	1.092054553360531	1
abstinent	@bstxnxnt	14.231020662711705	8	659	@bstxnxn	10.16727686242562	t	1.0605605955934554	1
absolution	@bsxluSxn	16.068293490359146	6	660	@bsxlu	9.731545633335273	Sxn	1.0258451301009608	1
absolute	@bsxlut	13.330063584634518	6	662	@bsxlu	9.731545633335273	t	1.0605605955934554	0
absolutely	@bsxlutli	11.101058721704328	7	662	@bsxlut	9.537218400538597	li	0.6292602089866118	1
absinthe	@bsxnT	20.85496118998831	5	659	@bsxn	8.897368576489775	T	1.8893257444501146	-1
absence	@bsxns	10.225522182660043	5	659	@bsxn	8.897368576489775	s	1.092054553360531	1
absent	@bsxnt	13.627000337161	5	662	@bsxn	8.897368576489775	t	1.0605605955934554	0
absentee	@bsxnti	13.63443755784015	6	664	@bsxnt	10.258566033889933	i	1.0032128889325593	1
absenteeism	@bsxntixzxm	17.42924142173906	7	664	@bsxnti	2.321928094887362	xzxm	0.4	1
abacus	@bxkxs	14.233713975176935	3	635	@bx	6.42235288220597	kxs	2.2341594847506427	0
abolition	@bxlISxn	14.951843264619026	7	645	@bxlISx	9.469641817239516	n	1.1012776238799646	1
abolitionist	@bxlISxnxst	12.807796002512442	8	645	@bxlISxn	6.894817763307944	xst	0.8530370008822148	1
