word	phones	word_info	u-point	u-point_mass	prefix	prefix_info	suffix	suffix_info	morpheme_count
snake	snek	8.343706907310242	3	2987	sne	9.373260440845536	k	1.389232030394151	0
snakebite	snekbYt	8.666981422535756	4	2987	snek	5.23431202145901	bYt	1.0	1
snaking	snekxN	5.791245713685054	4	2987	snek	5.23431202145901	xN	0.9608545890204996	-1
snail	snel	7.910037823438317	3	2984	sne	9.373260440845536	l	0.9933501369082647	0
sneak	snik	9.160330376358495	3	2988	sni	8.475471563704911	k	1.389232030394151	0
sneaky	sniki	11.367582278820327	4	2988	snik	10.360644737684135	i	1.0037427799968084	1
sneaking	snikxN	9.431629943812522	4	2988	snik	10.360644737684135	xN	0.9608545890204996	0
sneeze	sniz	11.003672095703704	3	2987	sni	8.475471563704911	z	1.0124623526393457	0
sneezing	snizxN	9.585683665170867	4	2987	sniz	10.46862404291802	xN	0.9608545890204996	-1
snow	sno	6.829436542859273	2	2994	sn	4.538845387940553	o	1.5430192652481562	0
snowshoe	snoSu	8.755345519093344	3	2994	sno	3.539889007014692	Su	2.2146187299249083	1
snowbound	snobWnd	9.934718182620893	4	2999	snob	3.4594316186372978	Wnd	0.8713602273382869	1
snowball	snobcl	9.634075817732265	5	3005	snobc	9.73809225962049	l	0.9933501369082647	0
snowballing	snobclxN	12.715960965474988	6	3005	snobcl	10.46862404291802	xN	0.9608545890204996	-1
snowboard	snobcrd	8.482971000545557	6	3007	snobcr	10.835260918627489	d	1.0782899628472473	-1
snowboarder	snobcrdR	7.7167752500675535	7	3007	snobcrd	10.522581531254831	R	1.0987519712878187	-1
snowfall	snofal	6.720589138165484	4	2996	snof	1.160964047443681	al	1.0	1
snowflake	snoflek	9.557504322402243	4	2996	snof	1.160964047443681	lek	1.0	1
snowy	snoi	10.483970288992198	3	2994	sno	3.539889007014692	i	1.0037427799968084	1
snowman	snom@n	10.923417011980321	4	2996	snom	1.792481250360578	@n	0.930827083453526	1
snowmobile	snomobil	8.997280363001453	4	2996	snom	1.792481250360578	obil	1.5	-1
snowplow	snoplW	10.26591887986169	3	2994	sno	3.539889007014692	plW	2.0	-1
snowstorm	snostcrm	9.456759822155348	3	2994	sno	3.539889007014692	stcrm	2.449348119698629	1
snoop	snup	7.989770968544688	3	2988	snu	7.285570915931399	p	2.0264132329470605	0
snoopy	snupi	9.551820242224313	4	2988	snup	10.360644737684135	i	1.0037427799968084	-1
snooping	snupxN	7.926684607802239	4	2988	snup	10.360644737684135	xN	0.9608545890204996	-1
snooty	snuti	11.52755552562014	3	2985	snu	7.285570915931399	ti	0.9757013096288111	0
snooze	snuz	10.968990467618404	3	2985	snu	7.285570915931399	z	1.0124623526393457	0
sew	so	10.139110256533696	1	2947	s	7.155906698366497	o	1.5430192652481562	0
sojourn	soJRn	7.28528863105329	4	2953	soJR	9.4655664048094	n	1.1019361665300267	0
sojourner	soJRnR	7.924130273893267	5	2953	soJRn	10.522581531254831	R	1.0987519712878187	1
sower	soR	7.9747309896800775	2	2947	so	5.793004634271621	R	1.0987519712878187	1
sociable	soSxbxl	11.55179535191299	4	2969	soSx	8.407453928335661	bxl	1.2249085645396434	0
social	soSxl	7.0803469514410065	4	2979	soSx	8.407453928335661	l	0.9933501369082647	0
socialistic	soSxlIstxk	10.509114759896393	6	2981	soSxlI	5.011183906514228	stxk	1.0733419459849431	-1
socialism	soSxlIzxm	7.555182835415361	6	2981	soSxlI	5.011183906514228	zxm	1.0824802004596819	1
socialite	soSxlYt	7.710347901038055	6	2983	soSxlY	9.392825208225293	t	1.0589451792400202	1
socialize	soSxlYz	10.757262406643328	6	2986	soSxlY	9.392825208225293	z	1.0124623526393457	1
socialized	soSxlYzd	10.571305524723297	7	2986	soSxlYz	10.651942480772753	d	1.0782899628472473	-1
socializing	soSxlYzxN	9.78573387345297	7	2986	soSxlYz	10.651942480772753	xN	0.9608545890204996	-1
socially	soSxli	8.905599502122454	5	2979	soSxl	10.25266543245025	i	1.0037427799968084	1
socialist	soSxlxst	8.763856134072016	6	2981	soSxlx	4.830889048885994	st	1.071565497825257	0
socialization	soSxlxzeSxn	10.963118153905857	6	2981	soSxlx	4.830889048885994	zeSxn	1.0	1
sober	sobR	9.171041167200901	3	2954	sob	5.2612907656274155	R	1.0987519712878187	0
soberly	sobRli	6.812181827154444	4	2954	sobR	10.001949709769413	li	0.6292405378534742	1
sobering	sobRxN	10.08646874534214	4	2954	sobR	10.001949709769413	xN	0.9608545890204996	-1
sobriety	sobrYxti	8.669578248721058	3	2951	sob	5.2612907656274155	rYxti	1.0	1
soda	sodV	6.9772302043595475	3	2949	sod	5.483613129417997	V	1.2586114919669429	0
sodium	sodixm	7.989039191142987	3	2949	sod	5.483613129417997	ixm	0.904222115551036	1
sofa	sofV	8.919697257841202	2	2947	so	5.793004634271621	fV	2.8073549220576046	0
soak	sok	10.402984464207748	2	2950	so	5.793004634271621	k	1.389232030394151	0
soaked	sokt	7.479550527633049	3	2950	sok	10.655879977014685	t	1.0589451792400202	0
soaking	sokxN	9.0527034387937	3	2950	sok	10.655879977014685	xN	0.9608545890204996	0
soul	sol	6.794007119113557	2	2957	so	5.793004634271621	l	0.9933501369082647	0
soldier	solJR	5.619102483564424	4	2961	solJ	10.522581531254831	R	1.0987519712878187	0
soldiering	solJRxN	8.227062068796812	5	2961	solJR	10.46862404291802	xN	0.9608545890204996	-1
solar	solR	8.199074327933786	3	2957	sol	7.937141415469838	R	1.0987519712878187	0
sold	sold	6.229257307206087	3	2957	sol	7.937141415469838	d	1.0782899628472473	-1
soulful	solfxl	9.19806350253802	3	2957	sol	7.937141415469838	fxl	0.9971081732156069	1
soulless	sollxs	8.878728694528405	3	2957	sol	7.937141415469838	lxs	1.2627951807096793	1
solo	solo	7.060492390188033	3	2959	sol	7.937141415469838	o	1.5430192652481562	0
soloist	soloxst	9.033792749833358	4	2959	solo	6.882643049361842	xst	0.8602661280083352	1
solon	solxn	8.180007653295316	3	2957	sol	7.937141415469838	xn	1.0426874344412644	-1
soma	somV	6.894645282825445	2	2947	so	5.793004634271621	mV	1.869152544116604	-1
sonar	sonar	7.906623400585744	2	2947	so	5.793004634271621	nar	2.8073549220576046	0
soap	sop	8.276289987612031	2	2950	so	5.793004634271621	p	2.0264132329470605	0
soapbox	sopbaks	9.780778622671852	3	2950	sop	5.918813966585703	baks	0.3333333333333333	1
soapy	sopi	10.517044048110174	3	2950	sop	5.918813966585703	i	1.0037427799968084	1
society	sosYxti	5.740017580446532	3	2953	sos	1.5849625007211563	Yxti	1.4406426982957872	0
sociology	sosialxJi	7.312918771218669	8	2966	sosialxJ	8.567654240906046	i	1.0037427799968084	1
sociologist	sosialxJxst	8.605760846822873	8	2966	sosialxJ	8.567654240906046	xst	0.8602661280083352	1
socioeconomic	sosioEkxnamxk	10.001654172062072	5	2960	sosio	1.0	Ekxnamxk	2.0	-1
sociopath	sosiop@T	9.498604307054116	5	2960	sosio	1.0	p@T	1.792481250360578	-1
sociological	sosixlaJxkxl	10.77740388112924	4	2958	sosi	3.0	xlaJxkxl	0.5	1
sowing	soxN	9.272262242253937	3	2949	sox	9.558237979272882	N	1.1580395489056459	-1
